2023-10-19T12:00:00Z,Excellence in Road Safety Awards: European Commission rewards best road safety projects,"The Commission is hosting the 2023 Excellence in Road Safety Awards. The awards recognise the best contributions by the European Road Safety Charter's community of organisations, authorities and companies towards safer roads across Europe.",News article,/news-events/news/excellence-road-safety-awards-european-commission-rewards-best-road-safety-projects-2023-10-19_en
2023-10-19T12:00:00Z,"Road safety: 20,640 people died in a road crash last year – progress remains too slow","The 20,640 deaths on EU roads last year represented a 4% increase in relation to 2021, as traffic levels recovered after the pandemic.",News article,/news-events/news/road-safety-20640-people-died-road-crash-last-year-progress-remains-too-slow-2023-10-19_en
2023-10-18T12:00:00Z,RLCF Alliance marks milestone in the pursuit of sustainable aviation and maritime fuels,"The second General Assembly of the RLCF Value Chain Industrial Alliance (RLCF) took place, heralding a significant step towards the production of sustainable and renewable aviation and waterborne fuels.",News article,/news-events/news/rlcf-alliance-marks-milestone-pursuit-sustainable-aviation-and-maritime-fuels-2023-10-18_en
2023-10-18T12:00:00Z,October infringement package: key decisions,October infringement package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_23_4577
2023-10-18T12:00:00Z,Commission refers Spain to the Court of Justice of the European Union for failing to correctly transpose and apply EU rules establishing a single European railway area,The Commission decided to refer Spain to the Court of Justice of the European Union for failing to correctly transpose and apply Directive 2012/34/EU establishing a single European railway area.,News article,https://ec.europa.eu/commission/presscorner/detail/en/IP_23_4817
2023-10-09T12:00:00Z,Single European Sky: annual monitoring shows impact of continued lack of air traffic management capacity with negative consequences for environment and climate,The Performance Review Body (PRB) has published the 2022 Annual Monitoring Report and Traffic Light System as part of its annual monitoring of the performance of the Member States of the Single European Sky (SES).,News article,/news-events/news/single-european-sky-annual-monitoring-shows-impact-continued-lack-air-traffic-management-capacity-2023-10-09_en
2023-10-09T12:00:00Z,"Final adoption of ReFuelEU Aviation completes ‘Fit for 55' legislation, putting EU on track to exceed 2030 targets",The Commission welcomes today's adoption of two final pillars of its ‘Fit for 55' legislative package for delivering the EU's 2030 climate targets.,News article,/news-events/news/final-adoption-refueleu-aviation-completes-fit-55-legislation-putting-eu-track-exceed-2030-targets-2023-10-09_en
2023-10-04T12:00:00Z,Commission proposes list of principles to boost cycling across Europe,"The proposal for a European Declaration on Cycling recognises cycling as a sustainable, accessible and inclusive, affordable and healthy means of transport, with strong added value for the EU economy.",News article,/news-events/news/commission-proposes-list-principles-boost-cycling-across-europe-2023-10-04_en
2023-10-04T12:00:00Z,Commissioner Vălean: Opening speech at Urban Mobility Days 2023,Commissioner Vălean: Opening speech at Urban Mobility Days 2023,News article,/news-events/news/commissioner-valean-opening-speech-urban-mobility-days-2023-2023-10-04_en
2023-09-29T12:00:00Z,Single European Sky: European Commission advised to prioritise environmental performance when setting performance targets for air navigation services,The Performance Review Body (PRB) for the Single European Sky (SES) has published its advice on EU-wide target ranges for the fourth reference period (2025 - 2029) of the SES performance and charging scheme.,News article,/news-events/news/single-european-sky-european-commission-advised-prioritise-environmental-performance-when-setting-2023-09-29_en
2023-09-28T12:00:00Z,September infringement package: key decisions,September infringement package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_23_4367
